x,y,VBM,CBM,BandGap
27.0,4.0,-1.0425477300087682,0.7420650226540026,1.7846127526627709
28.0,4.0,-1.0425709339731426,0.7420589807422117,1.7846299147153544
29.0,4.0,-1.040951739770286,0.7422315060577507,1.7831832458280368
30.0,4.0,-1.040436073097981,0.7422169579468046,1.7826530310447857
31.0,4.0,-1.040436073097981,0.7422169579468046,1.7826530310447857
32.0,4.0,-1.0406225690587485,0.7422222219558131,1.7828447910145617
33.0,4.0,-1.040802202418375,0.7422272861325104,1.7830294885508855
1.0,5.0,-1.0408571976318015,0.742228839832258,1.7830860374640594
2.0,5.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
3.0,5.0,-1.042967746231142,0.7419370723707734,1.7849048186019154
4.0,5.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
5.0,5.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
6.0,5.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
7.0,5.0,-1.0424402943415376,0.7420930065010263,1.784533300842564
8.0,5.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
9.0,5.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
10.0,5.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
11.0,5.0,-1.0423887338239026,0.7421064964427758,1.7844952302666783
12.0,5.0,-1.0423629422876315,0.7421132488621582,1.7844761911497897
13.0,5.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
14.0,5.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
15.0,5.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
16.0,5.0,-1.0423715540719607,0.742110997290091,1.7844825513620517
17.0,5.0,-1.0421884688037442,0.742159199078517,1.7843476678822612
18.0,5.0,-1.0427093047187552,0.7420215383579887,1.784730843076744
19.0,5.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
20.0,5.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
21.0,5.0,-1.0429158509445644,0.741954784567618,1.7848706355121824
22.0,5.0,-1.0427282261793331,0.7420157450787614,1.7847439712580946
23.0,5.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
24.0,5.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
25.0,5.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
26.0,5.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
27.0,5.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
28.0,5.0,-1.0407067944742037,0.7422245911348002,1.7829313856090039
29.0,5.0,-1.0411992444319143,0.7422384717932979,1.7834377162252122
30.0,5.0,-1.0410076063850782,0.7422330792184018,1.78324068560348
31.0,5.0,-1.0425709339731426,0.7420589807422117,1.7846299147153544
32.0,5.0,-1.0411262073515233,0.7422364122876844,1.7833626196392078
33.0,5.0,-1.0406371884004038,0.7422226431470901,1.7828598315474937
1.0,6.0,-1.0410978466188139,0.7422356210498048,1.7833334676686188
2.0,6.0,-1.0425709339731426,0.7420589807422117,1.7846299147153544
3.0,6.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
4.0,6.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
5.0,6.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
6.0,6.0,-1.0425477300087682,0.7420650226540026,1.7846127526627709
7.0,6.0,-1.0422056770381063,0.7421546452166682,1.7843603222547744
8.0,6.0,-1.04277805407539,0.7420004903822578,1.7847785444576476
9.0,6.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
10.0,6.0,-1.0429445794657606,0.7419450053122074,1.784889584777968
11.0,6.0,-1.0425709339731426,0.7420589807422117,1.7846299147153544
12.0,6.0,-1.0427539992669657,0.7420078604824462,1.7847618597494117
13.0,6.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
14.0,6.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
15.0,6.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
16.0,6.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
17.0,6.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
18.0,6.0,-1.042900257526074,0.7419600790744213,1.7848603366004951
19.0,6.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
20.0,6.0,-1.0429212982061031,0.7419529368932039,1.784874235099307
