0.00647,0.0123,0.01223,0.00388,0.00415,0.00567,0.00388,0.00358,0.00388,0.00415,0.00328,0.00388,0.00388,0.00388,0.00567,0.00388,0.00415,0.00328,0.00415,0.00408,0.00386,0.00538,0.00388,0.00388,0.00388,0.00388,0.00538,0.03204,0.0326,0.02967,0.02307,0.01724,0.02428
0.02872,0.00415,0.00177,0.00388,0.00358,0.00388,0.00388,0.00388,0.00415,0.00388,0.00415,0.00415,0.00567,0.00567,0.00567,0.00388,0.00415,0.00356,0.00388,0.00388,0.00415,0.00388,0.00388,0.00388,0.00388,0.00388,0.00388,0.00672,0.02215,0.01989,0.02657,0.02657,0.02612
0.02339,0.00388,0.0015,0.00388,0.00567,0.00567,0.00567,0.00567,0.00567,0.00388,0.00415,0.00388,0.00595,0.00395,0.00538,0.00567,0.00595,0.00598,0.00388,0.00415,0.00388,0.00567,0.00587,0.00567,0.00415,0.00388,0.00655,0.00808,0.01505,0.02359,0.02428,0.0319,0.02818
0.02359,0.00415,0.00567,0.00388,0.00388,0.00388,0.00595,0.00575,0.00388,0.00388,0.00808,0.00808,0.00808,0.00388,0.00388,0.00388,0.00835,0.0107,0.00358,0.00395,0.00415,0.00395,0.00595,0.00388,0.00395,0.00395,0.00388,0.03302,0.01418,0.03242,0.02359,0.01888,0.02108
0.03302,0.00655,0.01253,0.00595,0.00595,0.00567,0.00806,0.00647,0.00388,0.00388,0.00388,0.00595,0.00567,0.00388,0.00388,0.00388,0.00538,0.00388,0.00388,0.00415,0.00595,0.00388,0.00567,0.00388,0.00567,0.00388,0.00415,0.00415,0.00712,0.00857,0.02642,0.02182,0.02459
0.03035,0.00815,0.01078,0.00395,0.00538,0.00567,0.00415,0.00567,0.00415,0.00567,0.00388,0.00595,0.00388,0.00388,0.00567,0.00388,0.00388,0.00388,0.00595,0.00415,0.00388,0.00388,0.00415,0.00567,0.00415,0.00835,0.00595,0.00835,0.02824,0.0262,0.02559,0.02841,0.01088
0.02307,0.00595,0.00388,0.00415,0.00388,0.00415,0.00388,0.00395,0.00567,0.00538,0.00415,0.00567,0.00388,0.00595,0.00595,0.00358,0.00358,0.00388,0.00567,0.00567,0.00538,0.00415,0.00595,0.00388,0.00395,0.00595,0.00595,0.00415,0.03128,0.03075,0.02389,0.02662,0.03058
0.0261,0.00567,0.00388,0.00415,0.00415,0.00567,0.00358,0.00388,0.00388,0.00358,0.00395,0.00415,0.00575,0.00567,0.00388,0.00595,0.00538,0.00538,0.00567,0.00567,0.00595,0.00415,0.00595,0.00388,0.00388,0.00567,0.00415,0.00808,0.02589,0.03015,0.02802,0.02874,0.02348
0.026,0.00567,0.00388,0.00388,0.00388,0.00388,0.00358,0.00567,0.00388,0.00388,0.00388,0.00567,0.00828,0.00388,0.00388,0.00567,0.00567,0.0101,0.00806,0.00567,0.00567,0.00595,0.00835,0.00567,0.00388,0.00595,0.00415,0.02854,0.03058,0.02359,0.02548,0.0333,0.03058
0.03105,0.00388,0.00538,0.00388,0.00388,0.00358,0.00595,0.00635,0.00388,0.00538,0.00388,0.00388,0.00388,0.00217,0.00388,0.00567,0.00358,0.00388,0.00567,0.00415,0.00538,0.00415,0.00415,0.00388,0.00595,0.00567,0.00567,0.00395,0.03073,0.02119,0.02627,0.00349,0.0326
0.02833,0.03058,0.02882,0.03073,0.00835,0.00567,0.00388,0.00358,0.00388,0.00388,0.00358,0.00388,0.00388,0.00567,0.00415,0.00567,0.00358,0.00415,0.00567,0.00567,0.00415,0.00388,0.00567,0.00567,0.00388,0.00388,0.00388,0.00388,0.01321,0.03173,0.02612,0.01241,0.03105
0.02688,0.0235,0.02612,0.03058,0.02562,0.03272,0.00415,0.00567,0.00567,0.00388,0.00388,0.00388,0.00388,0.00388,0.00415,0.00388,0.00358,0.00567,0.00388,0.00567,0.00567,0.00358,0.00567,0.00388,0.00567,0.00595,0.00415,0.00567,0.02559,0.03004,0.03058,0.01989,0.00923
0.000814,0.02816,0.03058,0.0102,0.00846,0.03272,0.03045,0.00415,0.00595,0.00388,0.00395,0.00388,0.00415,0.00388,0.00538,0.00808,0.00567,0.00575,0.01253,0.00635,0.00575,0.00567,0.0123,0.01468,0.00567,0.00567,0.00595,0.0015,0.01662,0.03159,0.02489,0.01951,0.03173
0.00913,0.03113,0.03035,0.01438,0.01657,0.01106,0.03004,0.01938,0.00388,0.00358,0.00388,0.00388,0.00595,0.00567,0.00567,0.00388,0.00567,0.0107,0.01622,0.00808,0.00595,0.00595,0.01223,0.01437,0.00388,0.00595,0.00415,0.00415,0.02108,0.02359,0.03204,0.02119,0.02369
0.02973,0.03292,0.01437,0.01351,0.02774,0.01133,0.02802,0.00634,0.00806,0.00567,0.00388,0.00388,0.00618,0.00806,0.00388,0.00388,0.00388,0.0126,0.01223,0.00595,0.00567,0.00595,0.00415,0.01017,0.00388,0.00415,0.00388,0.00575,0.02628,0.00998,0.0312,0.02743,0.019
0.03073,0.03075,0.01565,0.00585,0.01302,0.02973,0.0319,0.00335,0.00998,0.02348,0.00415,0.00567,0.00595,0.00388,0.00358,0.00388,0.00595,0.00567,0.00415,0.00567,0.00415,0.00388,0.00567,0.00415,0.00415,0.00388,0.00595,0.00415,0.03089,0.02872,0.02002,0.03272,0.03105
